code,name,country
OZ,Asiana Airlines,Republic of Korea
8U,Afriqiyah Airways,Libya
AF,Air France,France
W3,Arik Air,Nigeria
3G,Atlant-Soyuz Airlines,Russia
AZ,Alitalia,Italy
AH,Air Algerie,Algeria
BA,British Airways,United Kingdom
AW,CHC Airways,Netherlands
CZ,China Southern Airlines,China
MN,Comair,South Africa
DE,Condor Flugdienst,Germany
MS,Egyptair,Egypt
ET,Ethiopian Airlines,Ethiopia
B5,Flightline,United Kingdom
KL,KLM Royal Dutch Airlines,Netherlands
KQ,Kenya Airways,Kenya
LN,Libyan Arab Airlines,Libya
LH,Lufthansa,Germany
JE,Mango,South Africa
UE,Nasair,Eritrea
M4,Nova Airline,Sudan
QR,Qatar Airways,Qatar
AT,Royal Air Maroc,Morocco
WB,Rwandair Express,Rwanda
SA,South African Airways,South Africa
SK,Scandinavian Airlines System,Sweden
SQ,Singapore Airlines,Singapore
FS,Servicios de Transportes A,Argentina
SD,Sudan Airways,Sudan
TU,Tunisair,Tunisia
TK,Turkish Airlines,Turkey
UA,United Airlines,United States
US,US Airways,United States
VA,V Australia Airlines,Australia
5H,Fly540,Kenya
